CERT,NOME DO BANCO,2000 - 2004,2005 - 2009,2010 - 2014,2015 - 2017
58066,Gold Canyon Bank,0,0,2013,0
16431,Frontier Bank,0,0,2013,0
22476,Covenant Bank,0,0,2013,0
57157,1st Regents Bank,0,0,2013,0
33997,Westside Community Bank,0,0,2013,0
27331,Community Bank of the Ozarks,0,0,2012,0
57928,Hometown Community Bank,0,0,2012,0
3731,Citizens First National Bank,0,0,2012,0
35009,Heritage Bank of Florida,0,0,2012,0
27148,NOVA Bank,0,0,2012,0
19189,Excel Bank,0,0,2012,0
28144,First East Side Savings Bank,0,0,2012,0
58073,GulfSouth Private Bank,0,0,2012,0
20685,First United Bank,0,0,2012,0
27316,Truman Bank,0,0,2012,0
35246,First Commercial Bank,0,0,2012,0
28243,Waukegan Savings Bank,0,0,2012,0
16240,Jasper Banking Company,0,0,2012,0
27986,Second Federal Savings and Loan Association of Chicago,0,0,2012,0
1361,Heartland Bank,0,0,2012,0
32711,First Cherokee State Bank,0,0,2012,0
57847,Georgia Trust Bank,0,0,2012,0
57096,The Royal Palm Bank of Florida,0,0,2012,0
1056,Glasgow Savings Bank,0,0,2012,0
19498,Montgomery Bank & Trust,0,0,2012,0
1690,The Farmers Bank of Lynchburg,0,0,2012,0
35299,Security Exchange Bank,0,0,2012,0
27405,Putnam State Bank,0,0,2012,0
34515,Waccamaw Bank,0,0,2012,0
9257,Farmers' and Traders' State Bank,0,0,2012,0
35372,Carolina Federal Savings Bank,0,0,2012,0
416,First Capital Bank,0,0,2012,0
35224,"Alabama Trust Bank, National Association",0,0,2012,0
23156,"Security Bank, National Association",0,0,2012,0
23632,Palm Desert National Bank,0,0,2012,0
32503,Plantation Federal Bank,0,0,2012,0
31495,"Inter Savings Bank, fsb D/B/A InterBank, fsb",0,0,2012,0
57766,HarVest Bank of Maryland,0,0,2012,0
26759,Bank of the Eastern Shore,0,0,2012,0
35527,"Fort Lee Federal Savings Bank, FSB",0,0,2012,0
33883,Fidelity Bank,0,0,2012,0
35419,Premier Bank,0,0,2012,0
58068,Covenant Bank & Trust,0,0,2012,0
57597,New City Bank,0,0,2012,0
34046,Global Commerce Bank,0,0,2012,0
29178,Home Savings of America,0,0,2012,0
5687,Central Bank of Georgia,0,0,2012,0
29761,SCB Bank,0,0,2012,0
23187,Charter National Bank and Trust,0,0,2012,0
19869,BankEast,0,0,2012,0
34823,Patriot Bank Minnesota,0,0,2012,0
35296,Tennessee Commerce Bank,0,0,2012,0
16579,First Guaranty Bank and Trust Company of Jacksonville,0,0,2012,0
31581,American Eagle Savings Bank,0,0,2012,0
19252,The First State Bank,0,0,2012,0
57186,Central Florida State Bank,0,0,2012,0
57917,Western National Bank,0,0,2011,0
58343,Premier Community Bank of the Emerald Coast,0,0,2011,0
19657,Central Progressive Bank,0,0,2011,0
14194,Polk County Bank,0,0,2011,0
57860,Community Bank of Rockmart,0,0,2011,0
57087,SunFirst Bank,0,0,2011,0
19397,"Mid City Bank, Inc.",0,0,2011,0
57759,All American Bank,0,0,2011,0
21132,Community Banks of Colorado,0,0,2011,0
57036,Community Capital Bank,0,0,2011,0
34392,Decatur First Bank,0,0,2011,0
57537,Old Harbor Bank,0,0,2011,0
35395,Country Bank,0,0,2011,0
58046,First State Bank,0,0,2011,0
32347,"Blue Ridge Savings Bank, Inc.",0,0,2011,0
57256,Piedmont Community Bank,0,0,2011,0
20115,Sun Security Bank,0,0,2011,0
10216,The RiverBank,0,0,2011,0
33513,First International Bank,0,0,2011,0
33983,Citizens Bank of Northern California,0,0,2011,0
20408,Bank of the Commonwealth,0,0,2011,0
25155,The First National Bank of Florida,0,0,2011,0
58226,CreekSide Bank,0,0,2011,0
58273,Patriot Bank of Georgia,0,0,2011,0
57212,First Choice Bank,0,0,2011,0
57239,First Southern National Bank,0,0,2011,0
35356,Lydian Private Bank,0,0,2011,0
34130,Public Savings Bank,0,0,2011,0
4744,The First National Bank of Olathe,0,0,2011,0
22528,Bank of Whitman,0,0,2011,0
22637,Bank of Shorewood,0,0,2011,0
4392,Integra Bank National Association,0,0,2011,0
58222,"BankMeridian, N.A.",0,0,2011,0
58283,Virginia Business Bank,0,0,2011,0
2994,Bank of Choice,0,0,2011,0
35244,LandMark Bank of Florida,0,0,2011,0
58056,Southshore Community Bank,0,0,2011,0
57442,Summit Bank,0,0,2011,0
34870,First Peoples Bank,0,0,2011,0
19554,High Trust Bank,0,0,2011,0
58238,One Georgia Bank,0,0,2011,0
57835,Signature Bank,0,0,2011,0
34522,Colorado Capital Bank,0,0,2011,0
27935,First Chicago Bank & Trust,0,0,2011,0
57593,Mountain Heritage Bank,0,0,2011,0
27583,First Commercial Bank of Tampa Bay,0,0,2011,0
19237,McIntosh State Bank,0,0,2011,0
58420,Atlantic Bank and Trust,0,0,2011,0
23626,First Heritage Bank,0,0,2011,0
513,Summit Bank,0,0,2011,0
57647,First Georgia Banking Company,0,0,2011,0
57213,Atlantic Southern Bank,0,0,2011,0
34898,Coastal Bank,0,0,2011,0
34234,Community Central Bank,0,0,2011,0
19797,The Park Avenue Bank,0,0,2011,0
58539,First Choice Community Bank,0,0,2011,0
57625,Cortez Community Bank,0,0,2011,0
26297,First National Bank of Central Florida,0,0,2011,0
14273,Heritage Banking Group,0,0,2011,0
24099,Rosemount National Bank,0,0,2011,0
17750,Superior Bank,0,0,2011,0
19794,Nexity Bank,0,0,2011,0
57705,New Horizons Bank,0,0,2011,0
21495,Bartow County Bank,0,0,2011,0
35418,Nevada Commerce Bank,0,0,2011,0
10086,Western Springs National Bank and Trust,0,0,2011,0
34292,The Bank of Commerce,0,0,2011,0
34818,Legacy Bank,0,0,2011,0
4077,First National Bank of Davis,0,0,2011,0
34187,Valley Community Bank,0,0,2011,0
34783,"San Luis Trust Bank, FSB",0,0,2011,0
57855,Charter Oak Bank,0,0,2011,0
34601,Citizens Bank of Effingham,0,0,2011,0
151,Habersham Bank,0,0,2011,0
34692,Canyon National Bank,0,0,2011,0
13272,Badger State Bank,0,0,2011,0
14939,Peoples State Bank,0,0,2011,0
35478,Sunshine State Community Bank,0,0,2011,0
57948,Community First Bank Chicago,0,0,2011,0
35242,North Georgia Bank,0,0,2011,0
57432,American Trust Bank,0,0,2011,0
12261,First Community Bank,0,0,2011,0
57646,FirsTier Bank,0,0,2011,0
5328,Evergreen State Bank,0,0,2011,0
2303,The First State Bank,0,0,2011,0
31293,United Western Bank,0,0,2011,0
34516,The Bank of Asheville,0,0,2011,0
57868,CommunitySouth Bank & Trust,0,0,2011,0
19758,Enterprise Banking Company,0,0,2011,0
57440,Oglethorpe Bank,0,0,2011,0
57820,Legacy Bank,0,0,2011,0
34965,First Commercial Bank of Florida,0,0,2011,0
23306,Community National Bank,0,0,2010,0
58052,First Southern Bank,0,0,2010,0
35065,"United Americas Bank, N.A.",0,0,2010,0
58495,"Appalachian Community Bank, FSB",0,0,2010,0
34578,Chestatee State Bank,0,0,2010,0
19040,"The Bank of Miami,N.A.",0,0,2010,0
35561,Earthstar Bank,0,0,2010,0
34673,Paramount Bank,0,0,2010,0
5287,First Banking Center,0,0,2010,0
35078,Allegiance Bank of North America,0,0,2010,0
20340,Gulf State Community Bank,0,0,2010,0
35463,Copper Star Bank,0,0,2010,0
14580,Darby Bank & Trust Co.,0,0,2010,0
57831,Tifton Banking Company,0,0,2010,0
57885,First Vietnamese American Bank,0,0,2010,0
34411,Pierce Commercial Bank,0,0,2010,0
58087,Western Commercial Bank,0,0,2010,0
31263,K Bank,0,0,2010,0
32582,"First Arizona Savings, A FSB",0,0,2010,0
22173,Hillcrest Bank,0,0,2010,0
16089,First Suburban National Bank,0,0,2010,0
2119,The First National Bank of Barnesville,0,0,2010,0
33904,The Gordon Bank,0,0,2010,0
32251,Progress Bank of Florida,0,0,2010,0
27573,First Bank of Jacksonville,0,0,2010,0
34016,Premier Bank,0,0,2010,0
58205,WestBridge Bank and Trust Company,0,0,2010,0
30898,"Security Savings Bank, F.S.B.",0,0,2010,0
35250,Shoreline Bank,0,0,2010,0
21777,Wakulla Bank,0,0,2010,0
35053,North County Bank,0,0,2010,0
58308,Haven Trust Bank Florida,0,0,2010,0
28612,Maritime Savings Bank,0,0,2010,0
27808,Bramble Savings Bank,0,0,2010,0
182,The Peoples Bank,0,0,2010,0
57448,First Commerce Community Bank,0,0,2010,0
58197,Bank of Ellijay,0,0,2010,0
57107,ISN Bank,0,0,2010,0
35061,Horizon Bank,0,0,2010,0
27259,Sonoma Valley Bank,0,0,2010,0
32165,Los Padres Bank,0,0,2010,0
33219,Butte Community Bank,0,0,2010,0
27090,Pacific State Bank,0,0,2010,0
15640,ShoreBank,0,0,2010,0
31623,Imperial Savings and Loan Association,0,0,2010,0
27344,Independent National Bank,0,0,2010,0
25266,Community National Bank at Bartow,0,0,2010,0
17599,Palos Bank and Trust Company,0,0,2010,0
34231,Ravenswood Bank,0,0,2010,0
31964,LibertyBank,0,0,2010,0
22643,The Cowlitz Bank,0,0,2010,0
9619,Coastal Community Bank,0,0,2010,0
57669,Bayside Savings Bank,0,0,2010,0
57658,Northwest Bank & Trust,0,0,2010,0
23181,Home Valley Bank,0,0,2010,0
35434,SouthwestUSA Bank,0,0,2010,0
34486,Community Security Bank,0,0,2010,0
10506,Thunder Bank,0,0,2010,0
17837,Williamsburg First National Bank,0,0,2010,0
27559,Crescent Bank and Trust Company,0,0,2010,0
32536,Sterling Bank,0,0,2010,0
28136,"Mainstreet Savings Bank, FSB",0,0,2010,0
28864,Olde Cypress Community Bank,0,0,2010,0
32280,Turnberry Bank,0,0,2010,0
25172,Metro Bank of Dade County,0,0,2010,0
35383,First National Bank of the South,0,0,2010,0
32571,Woodlands Bank,0,0,2010,0
11636,Home National Bank,0,0,2010,0
58072,USA Bank,0,0,2010,0
32456,Ideal Federal Savings Bank,0,0,2010,0
35462,Bay National Bank,0,0,2010,0
35279,High Desert State Bank,0,0,2010,0
34152,First National Bank,0,0,2010,0
26563,Peninsula Bank,0,0,2010,0
57110,Nevada Security Bank,0,0,2010,0
32955,Washington First International Bank,0,0,2010,0
29341,TierOne Bank,0,0,2010,0
31813,Arcola Homestead Savings Bank,0,0,2010,0
15814,First National Bank,0,0,2010,0
34785,Sun West Bank,0,0,2010,0
57315,"Granite Community Bank, NA",0,0,2010,0
57814,Bank of Florida - Tampa,0,0,2010,0
35106,Bank of Florida - Southwest,0,0,2010,0
57360,Bank of Florida - Southeast,0,0,2010,0
57735,Pinehurst Bank,0,0,2010,0
18117,Midwest Bank and Trust Company,0,0,2010,0
34255,Southwest Community Bank,0,0,2010,0
35586,New Liberty Bank,0,0,2010,0
35114,Satilla Community Bank,0,0,2010,0
35517,1st Pacific Bank of California,0,0,2010,0
57697,Towne Bank of Arizona,0,0,2010,0
16476,Access Bank,0,0,2010,0
14246,The Bank of Bonifay,0,0,2010,0
22710,Frontier Bank,0,0,2010,0
17792,BC National Banks,0,0,2010,0
58362,Champion Bank,0,0,2010,0
30005,CF Bancorp,0,0,2010,0
31027,Westernbank Puerto Rico,0,0,2010,0
32185,R-G Premier Bank of Puerto Rico,0,0,2010,0
27150,Eurobank,0,0,2010,0
58429,Wheatland Bank,0,0,2010,0
10888,Peotone Bank and Trust Company,0,0,2010,0
30600,Lincoln Park Savings Bank,0,0,2010,0
34821,New Century Bank,0,0,2010,0
34658,Citizens Bank and Trust Company of Chicago,0,0,2010,0
22853,Broadway Bank,0,0,2010,0
3735,"Amcore Bank, National Association",0,0,2010,0
21521,City Bank,0,0,2010,0
33493,Tamalpais Bank,0,0,2010,0
23876,Innovative Bank,0,0,2010,0
26619,Butler Bank,0,0,2010,0
24067,Riverside National Bank of Florida,0,0,2010,0
57724,AmericanFirst Bank,0,0,2010,0
28886,First Federal Bank of North Florida,0,0,2010,0
34878,Lakeside Community Bank,0,0,2010,0
34242,Beach First National Bank,0,0,2010,0
57060,Desert Hills Bank,0,0,2010,0
34678,Unity National Bank,0,0,2010,0
34684,Key West Bank,0,0,2010,0
57399,McIntosh Commercial Bank,0,0,2010,0
8221,State Bank of Aurora,0,0,2010,0
24957,First Lowndes Bank,0,0,2010,0
10054,Bank of Hiawassee,0,0,2010,0
33989,Appalachian Community Bank,0,0,2010,0
33535,Advanta Bank Corp.,0,0,2010,0
58104,Century Security Bank,0,0,2010,0
18806,American National Bank,0,0,2010,0
29561,Statewide Bank,0,0,2010,0
58182,Old Southern Bank,0,0,2010,0
27096,The Park Avenue Bank,0,0,2010,0
58071,LibertyPointe Bank,0,0,2010,0
34430,Centennial Bank,0,0,2010,0
34976,Waterfield Bank,0,0,2010,0
9268,Bank of Illinois,0,0,2010,0
27126,Sun American Bank,0,0,2010,0
38129,Rainier Pacific Bank,0,0,2010,0
58352,Carson River Community Bank,0,0,2010,0
32423,"La Jolla Bank, FSB",0,0,2010,0
29952,George Washington Savings Bank,0,0,2010,0
3287,The La Coste National Bank,0,0,2010,0
57586,Marco Community Bank,0,0,2010,0
15448,1st American State Bank of Minnesota,0,0,2010,0
16730,American Marine Bank,0,0,2010,0
23011,First Regional Bank,0,0,2010,0
5702,Community Bank and Trust,0,0,2010,0
16133,"Marshall Bank, N.A.",0,0,2010,0
5672,Florida Community Bank,0,0,2010,0
16480,First National Bank of Georgia,0,0,2010,0
22469,Columbia River Bank,0,0,2010,0
20501,Evergreen Bank,0,0,2010,0
32498,Charter Bank,0,0,2010,0
8265,Bank of Leeton,0,0,2010,0
57147,Premier American Bank,0,0,2010,0
1252,Barnes Banking Company,0,0,2010,0
17522,St. Stephen State Bank,0,0,2010,0
34705,Town Community Bank & Trust,0,0,2010,0
22977,Horizon Bank,0,0,2010,0
28536,"First Federal Bank of California, F.S.B.",0,2009,0,0
26348,Imperial Capital Bank,0,2009,0,0
26820,Independent Bankers' Bank,0,2009,0,0
32276,New South Federal Savings Bank,0,2009,0,0
1006,Citizens State Bank,0,2009,0,0
32167,Peoples First Community Bank,0,2009,0,0
58315,RockBridge Commercial Bank,0,2009,0,0
4731,SolutionsBank,0,2009,0,0
58399,"Valley Capital Bank, N.A.",0,2009,0,0
22846,"Republic Federal Bank, N.A.",0,2009,0,0
32583,Greater Atlantic Bank,0,2009,0,0
10440,Benchmark Bank,0,2009,0,0
29776,AmTrust Bank,0,2009,0,0
12080,The Tattnall Bank,0,2009,0,0
26290,First Security National Bank,0,2009,0,0
34663,The Buckhead Community Bank,0,2009,0,0
58016,Commerce Bank of Southwest Florida,0,2009,0,0
57914,Pacific Coast National Bank,0,2009,0,0
22427,Orion Bank,0,2009,0,0
32267,"Century Bank, F.S.B.",0,2009,0,0
32469,United Commercial Bank,0,2009,0,0
19450,Gateway Bank of St. Louis,0,2009,0,0
35074,Prosperan Bank,0,2009,0,0
30329,Home Federal Savings Bank,0,2009,0,0
22286,United Security Bank,0,2009,0,0
18776,North Houston Bank,0,2009,0,0
33782,Madisonville State Bank,0,2009,0,0
25222,Citizens National Bank,0,2009,0,0
11677,Park National Bank,0,2009,0,0
30006,Pacific National Bank,0,2009,0,0
34659,California National Bank,0,2009,0,0
23594,San Diego National Bank,0,2009,0,0
35291,Community Bank of Lemont,0,2009,0,0
32218,"Bank USA, N.A.",0,2009,0,0
35038,First DuPage Bank,0,2009,0,0
57525,Riverview Community Bank,0,2009,0,0
18321,Bank of Elmwood,0,2009,0,0
35044,Flagship National Bank,0,2009,0,0
58336,Hillcrest Bank Florida,0,2009,0,0
57794,American United Bank,0,2009,0,0
57959,Partners Bank,0,2009,0,0
23266,San Joaquin Bank,0,2009,0,0
57263,Southern Colorado National Bank,0,2009,0,0
11416,Jennings State Bank,0,2009,0,0
34824,Warren Bank,0,2009,0,0
57151,Georgian Bank,0,2009,0,0
57068,"Irwin Union Bank, F.S.B.",0,2009,0,0
10100,Irwin Union Bank and Trust Company,0,2009,0,0
22868,Venture Bank,0,2009,0,0
57736,Brickwell Community Bank,0,2009,0,0
13693,"Corus Bank, N.A.",0,2009,0,0
34875,First State Bank,0,2009,0,0
35030,Platinum Community Bank,0,2009,0,0
27732,Vantus Bank,0,2009,0,0
20203,InBank,0,2009,0,0
25231,First Bank of Kansas City,0,2009,0,0
27197,Affinity Bank,0,2009,0,0
1909,Mainstreet Bank,0,2009,0,0
28312,Bradford Bank,0,2009,0,0
32618,Guaranty Bank,0,2009,0,0
22130,CapitalSouth Bank,0,2009,0,0
57702,First Coweta Bank,0,2009,0,0
34682,ebank,0,2009,0,0
34043,Community Bank of Nevada,0,2009,0,0
57645,Community Bank of Arizona,0,2009,0,0
34485,"Union Bank, National Association",0,2009,0,0
9609,Colonial Bank,0,2009,0,0
31559,Dwelling House Savings and Loan Association,0,2009,0,0
23268,Community First Bank,0,2009,0,0
27183,Community National Bank of Sarasota County,0,2009,0,0
27364,First State Bank,0,2009,0,0
18659,Mutual Bank,0,2009,0,0
34270,First BankAmericano,0,2009,0,0
32288,Peoples Community Bank,0,2009,0,0
57604,Integrity Bank,0,2009,0,0
9873,First State Bank of Altus,0,2009,0,0
8486,Security Bank of Jones County,0,2009,0,0
27048,Security Bank of Houston County,0,2009,0,0
27367,Security Bank of Bibb County,0,2009,0,0
57105,Security Bank of North Metro,0,2009,0,0
57430,Security Bank of North Fulton,0,2009,0,0
57346,Security Bank of Gwinnett County,0,2009,0,0
58065,Waterford Village Bank,0,2009,0,0
34341,Temecula Valley Bank,0,2009,0,0
23556,Vineyard Bank,0,2009,0,0
34103,BankFirst,0,2009,0,0
34594,First Piedmont Bank,0,2009,0,0
22754,Bank of Wyoming,0,2009,0,0
18390,Founders Bank,0,2009,0,0
57667,Millennium State Bank of Texas,0,2009,0,0
3644,First National Bank of Danville,0,2009,0,0
9262,Elizabeth State Bank,0,2009,0,0
15302,Rock River Bank,0,2009,0,0
11710,First State Bank of Winchester,0,2009,0,0
12093,John Warner Bank,0,2009,0,0
57332,Mirae Bank,0,2009,0,0
57893,MetroPacific Bank,0,2009,0,0
9744,Horizon Bank,0,2009,0,0
35285,Neighborhood Community Bank,0,2009,0,0
57436,Community Bank of West Georgia,0,2009,0,0
4614,First National Bank of Anthony,0,2009,0,0
27837,Cooperative Bank,0,2009,0,0
35251,Southern Community Bank,0,2009,0,0
17309,Bank of Lincolnwood,0,2009,0,0
5757,Citizens National Bank,0,2009,0,0
35175,Strategic Capital Bank,0,2009,0,0
32247,"BankUnited, FSB",0,2009,0,0
34843,Westsound Bank,0,2009,0,0
35461,America West Bank,0,2009,0,0
57563,Citizens Community Bank,0,2009,0,0
26535,"Silverton Bank, NA",0,2009,0,0
34396,First Bank of Idaho,0,2009,0,0
32069,First Bank of Beverly Hills,0,2009,0,0
34369,Michigan Heritage Bank,0,2009,0,0
57943,American Southern Bank,0,2009,0,0
33824,Great Basin Bank of Nevada,0,2009,0,0
8266,American Sterling Bank,0,2009,0,0
34881,New Frontier Bank,0,2009,0,0
34639,Cape Fear Bank,0,2009,0,0
22238,Omni National Bank,0,2009,0,0
4754,"TeamBank, NA",0,2009,0,0
18896,Colorado National Bank,0,2009,0,0
18243,FirstCity Bank,0,2009,0,0
57558,Freedom Bank of Georgia,0,2009,0,0
34820,Security Savings Bank,0,2009,0,0
20078,Heritage Community Bank,0,2009,0,0
35399,Silver Falls Bank,0,2009,0,0
57342,Pinnacle Bank of Oregon,0,2009,0,0
16500,Corn Belt Bank & Trust Co.,0,2009,0,0
34563,Riverside Bank of the Gulf Coast,0,2009,0,0
5431,Sherman County Bank,0,2009,0,0
22574,County Bank,0,2009,0,0
23124,Alliance Bank,0,2009,0,0
57017,FirstBank Financial Services,0,2009,0,0
26538,Ocala National Bank,0,2009,0,0
30763,Suburban FSB,0,2009,0,0
58001,MagnetBank,0,2009,0,0
33025,1st Centennial Bank,0,2009,0,0
34959,Bank of Clark County,0,2009,0,0
19733,National Bank of Commerce,0,2009,0,0
11568,Sanderson State Bank,0,2008,0,0
35379,Haven Trust Bank,0,2008,0,0
34301,First Georgia Community Bank,0,2008,0,0
28344,PFF Bank & Trust,0,2008,0,0
30968,Downey Savings & Loan,0,2008,0,0
16490,Community Bank,0,2008,0,0
23595,Security Pacific Bank,0,2008,0,0
26870,"Franklin Bank, SSB",0,2008,0,0
57930,Freedom Bank,0,2008,0,0
58241,Alpha Bank & Trust,0,2008,0,0
13789,Meridian Bank,0,2008,0,0
57654,Main Street Bank,0,2008,0,0
32633,Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),0,2008,0,0
6782,Ameribank,0,2008,0,0
34194,Silver State Bank,0,2008,0,0
35469,Integrity Bank,0,2008,0,0
22728,Columbian Bank & Trust,0,2008,0,0
57523,First Priority Bank,0,2008,0,0
57961,"First Heritage Bank, NA",0,2008,0,0
27011,First National Bank of Nevada,0,2008,0,0
29730,IndyMac Bank,0,2008,0,0
12736,"First Integrity Bank, NA",0,2008,0,0
33901,"ANB Financial, NA",0,2008,0,0
1971,Hume Bank,0,2008,0,0
24660,Douglass National Bank,0,2008,0,0
16848,Miami Valley Bank,0,2007,0,0
32575,NetBank,0,2007,0,0
35353,Metropolitan Savings Bank,0,2007,0,0
1249,Bank of Ephraim,2004,0,0,0
26778,Reliance Bank,2004,0,0,0
26838,Guaranty National Bank of Tallahassee,2004,0,0,0
31330,Dollar Savings Bank,2004,0,0,0
27203,Pulaski Savings Bank,2003,0,0,0
11639,First National Bank of Blanchardville,2003,0,0,0
27094,Southern Pacific Bank,2003,0,0,0
16445,Farmers Bank of Cheneyville,2002,0,0,0
9961,Bank of Alamo,2002,0,0,0
33784,AmTrade International Bank,2002,0,0,0
29355,Universal Federal Savings Bank,2002,0,0,0
19183,Connecticut Bank of Commerce,2002,0,0,0
34979,New Century Bank,2002,0,0,0
26652,Net 1st National Bank,2002,0,0,0
22314,"NextBank, NA",2002,0,0,0
8966,Oakwood Deposit Bank Co.,2002,0,0,0
22002,Bank of Sierra Blanca,2002,0,0,0
24382,"Hamilton Bank, NA",2002,0,0,0
34248,Sinclair National Bank,2001,0,0,0
32646,"Superior Bank, FSB",2001,0,0,0
6629,Malta National Bank,2001,0,0,0
34264,First Alliance Bank & Trust Co.,2001,0,0,0
3815,National State Bank of Metropolis,2000,0,0,0
21029,Bank of Honolulu,2000,0,0,0
